"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,007,25,017,MA,"Middlesex County",43,67,2344,
09,007,25,013,MA,"Hampden County",36,44,1701,
09,007,36,061,NY,"New York County",26,31,2026,
09,007,25,027,MA,"Worcester County",25,42,1165,
09,007,12,011,FL,"Broward County",23,36,512,
09,007,25,025,MA,"Suffolk County",23,28,747,
09,007,12,099,FL,"Palm Beach County",22,36,743,
09,007,25,021,MA,"Norfolk County",21,38,1478,
09,007,36,103,NY,"Suffolk County",20,35,799,
09,007,25,005,MA,"Bristol County",19,27,812,
09,007,36,119,NY,"Westchester County",19,28,1281,
09,007,12,103,FL,"Pinellas County",18,28,650,
09,007,57,005,FR,"Foreign - APO/FPO ZIPs",16,32,451,
09,007,17,031,IL,"Cook County",15,18,739,
09,007,36,081,NY,"Queens County",15,25,453,
09,007,44,007,RI,"Providence County",15,21,590,
09,007,44,009,RI,"Washington County",15,22,672,
09,007,36,059,NY,"Nassau County",13,21,658,
09,007,42,003,PA,"Allegheny County",13,18,612,
09,007,06,037,CA,"Los Angeles County",12,15,426,
09,007,23,005,ME,"Cumberland County",12,24,1013,
09,007,33,011,NH,"Hillsborough County",12,16,453,
09,007,44,005,RI,"Newport County",12,22,671,
09,007,25,009,MA,"Essex County",11,19,342,
09,007,36,027,NY,"Dutchess County",11,19,579,
09,007,36,067,NY,"Onondaga County",11,12,276,
09,007,44,003,RI,"Kent County",11,27,821,
09,007,12,009,FL,"Brevard County",10,18,339,
09,007,34,023,NJ,"Middlesex County",10,15,645,
09,007,36,071,NY,"Orange County",10,23,660,
09,007,51,059,VA,"Fairfax County",10,27,939,
09,007,58,000,SS,"Other Flows - Same State",40,67,1620,
09,007,59,000,DS,"Other Flows - Diff State",959,1708,42410,
09,007,59,001,DS,"Other Flows - Northeast",353,605,14959,
09,007,59,003,DS,"Other Flows - Midwest",106,192,5171,
09,007,59,005,DS,"Other Flows - South",357,676,17224,
09,007,59,007,DS,"Other Flows - West",143,235,5057,
